"","X","Date.Rptd","DR.NO","DATE.OCC","TIME.OCC","AREA","AREA.NAME","RD","Crm.Cd","Crm.Cd.Desc","Status","Status.Desc","LOCATION","Cross.Street","Location.1","latlong","lat","long","DateGone","MonthGone","Shade","lat.1","long.1","Shade1"
"41",41,"02/22/2014",141306905,"02/21/2014",830,13,"Newton",1321,480,"BIKE - STOLEN","IC","Invest Cont"," 1900      S  BROADWAY","","(34.0316, -118.2657)","34.0316, -118.2657",34.0316,-118.2657,2014-02-21,"February","#FB8072",34.0316,-118.2657,"#33A02C"
"42",42,"08/15/2014",141713779,"08/15/2014",1730,17,"Devonshire",1767,480,"BIKE - STOLEN","IC","Invest Cont"," 9500         RESEDA                       BL","","(34.2428, -118.5361)","34.2428, -118.5361",34.2428,-118.5361,2014-08-15,"August","#FFFFB3",34.2428,-118.5361,"#1F78B4"
"43",43,"08/16/2014",142014916,"08/15/2014",2300,20,"Olympic",2069,480,"BIKE - STOLEN","IC","Invest Cont"," 1200         MAGNOLIA                     AV","","(34.0491, -118.2865)","34.0491, -118.2865",34.0491,-118.2865,2014-08-15,"August","#FFFFB3",34.0491,-118.2865,"#1F78B4"
"44",44,"08/14/2014",140118966,"08/14/2014",1500,1,"Central",162,480,"BIKE - STOLEN","IC","Invest Cont","  400      W  8TH                          ST","","(34.0445, -118.2558)","34.0445, -118.2558",34.0445,-118.2558,2014-08-14,"August","#FFFFB3",34.0445,-118.2558,"#1F78B4"
"45",45,"08/14/2014",140215837,"08/14/2014",1600,2,"Rampart",256,480,"BIKE - STOLEN","AA","Adult Arrest"," 1600         WILSHIRE                     BL","","(34.0554, -118.2702)","34.0554, -118.2702",34.0554,-118.2702,2014-08-14,"August","#FFFFB3",34.0554,-118.2702,"#1F78B4"
"46",46,"08/14/2014",140317634,"08/14/2014",1300,3,"Southwest",363,480,"BIKE - STOLEN","IC","Invest Cont"," 3600      W  MARTIN LUTHER KING JR        BL","","(34.011, -118.3351)","34.011, -118.3351",34.011,-118.3351,2014-08-14,"August","#FFFFB3",34.011,-118.3351,"#1F78B4"
"47",47,"03/11/2014",141507534,"02/20/2014",800,15,"N Hollywood",1583,480,"BIKE - STOLEN","IC","Invest Cont","11800         MOORPARK                     ST","","(34.1504, -118.3901)","34.1504, -118.3901",34.1504,-118.3901,2014-02-20,"February","#FB8072",34.1504,-118.3901,"#33A02C"
"48",48,"08/19/2014",140701059,"08/14/2014",1230,7,"Wilshire",735,480,"BIKE - STOLEN","IC","Invest Cont"," 5400         WILSHIRE                     BL","","(34.0623, -118.3462)","34.0623, -118.3462",34.0623,-118.3462,2014-08-14,"August","#FFFFB3",34.0623,-118.3462,"#1F78B4"
"49",49,"08/15/2014",140712744,"08/14/2014",813,7,"Wilshire",736,480,"BIKE - STOLEN","IC","Invest Cont","  400      S  CLOVERDALE                   AV","","(34.0669, -118.3462)","34.0669, -118.3462",34.0669,-118.3462,2014-08-14,"August","#FFFFB3",34.0669,-118.3462,"#1F78B4"
"50",50,"08/14/2014",141713719,"08/14/2014",1400,17,"Devonshire",1717,480,"BIKE - STOLEN","IC","Invest Cont","16400         MCKEEVER                     ST","","(34.2746, -118.4897)","34.2746, -118.4897",34.2746,-118.4897,2014-08-14,"August","#FFFFB3",34.2746,-118.4897,"#1F78B4"
"51",51,"02/18/2014",140107326,"02/18/2014",2045,1,"Central",159,480,"BIKE - STOLEN","IC","Invest Cont","              7TH                          ST","   SANTA FE","(34.035, -118.238)","34.035, -118.238",34.035,-118.238,2014-02-18,"February","#FB8072",34.035,-118.238,"#33A02C"
"52",52,"02/19/2014",140107440,"02/18/2014",1640,1,"Central",185,480,"BIKE - STOLEN","IC","Invest Cont"," 1200      S  LOS ANGELES                  ST","","(34.037, -118.2583)","34.037, -118.2583",34.037,-118.2583,2014-02-18,"February","#FB8072",34.037,-118.2583,"#33A02C"
"53",53,"02/20/2014",140107486,"02/18/2014",1630,1,"Central",195,480,"BIKE - STOLEN","IC","Invest Cont","              17TH                         ST","   MAIN                         ST","(34.0338, -118.2646)","34.0338, -118.2646",34.0338,-118.2646,2014-02-18,"February","#FB8072",34.0338,-118.2646,"#33A02C"
"54",54,"02/21/2014",140206690,"02/18/2014",2000,2,"Rampart",218,480,"BIKE - STOLEN","IC","Invest Cont","  700         ECHO PARK                    AV","","(34.0713, -118.2597)","34.0713, -118.2597",34.0713,-118.2597,2014-02-18,"February","#FB8072",34.0713,-118.2597,"#33A02C"
"55",55,"08/13/2014",141515498,"08/13/2014",150,15,"N Hollywood",1557,480,"BIKE - STOLEN","IC","Invest Cont","10900         MAGNOLIA                     BL","","(34.1649, -118.3683)","34.1649, -118.3683",34.1649,-118.3683,2014-08-13,"August","#FFFFB3",34.1649,-118.3683,"#1F78B4"
"56",56,"02/18/2014",140107231,"02/17/2014",2130,1,"Central",161,480,"BIKE - STOLEN","IC","Invest Cont","  700      S  FIGUEROA                     ST","","(34.0494, -118.2599)","34.0494, -118.2599",34.0494,-118.2599,2014-02-17,"February","#FB8072",34.0494,-118.2599,"#33A02C"
"57",57,"02/17/2014",140206413,"02/17/2014",405,2,"Rampart",201,480,"BIKE - STOLEN","IC","Invest Cont","  800      N  MARIPOSA                     AV","","(34.0853, -118.299)","34.0853, -118.299",34.0853,-118.299,2014-02-17,"February","#FB8072",34.0853,-118.299,"#33A02C"
"58",58,"08/13/2014",140118836,"08/12/2014",1010,1,"Central",164,480,"BIKE - STOLEN","IC","Invest Cont","              6TH                          ST","   MAIN                         ST","(34.0458, -118.2507)","34.0458, -118.2507",34.0458,-118.2507,2014-08-12,"August","#FFFFB3",34.0458,-118.2507,"#1F78B4"
"59",59,"08/13/2014",140118838,"08/12/2014",2030,1,"Central",128,480,"BIKE - STOLEN","IC","Invest Cont","  400      E  2ND                          ST","","(34.0477, -118.2393)","34.0477, -118.2393",34.0477,-118.2393,2014-08-12,"August","#FFFFB3",34.0477,-118.2393,"#1F78B4"
"60",60,"08/14/2014",140118922,"08/12/2014",715,1,"Central",192,480,"BIKE - STOLEN","IC","Invest Cont"," 1300      S  FIGUEROA                     ST","","(34.0407, -118.268)","34.0407, -118.268",34.0407,-118.268,2014-08-12,"August","#FFFFB3",34.0407,-118.268,"#1F78B4"
"61",61,"08/12/2014",140413191,"08/12/2014",800,4,"Hollenbeck",409,480,"BIKE - STOLEN","IC","Invest Cont"," 4300         ALPHA                        ST","","(34.0945, -118.1593)","34.0945, -118.1593",34.0945,-118.1593,2014-08-12,"August","#FFFFB3",34.0945,-118.1593,"#1F78B4"
"62",62,"02/18/2014",141106161,"02/17/2014",2345,11,"Northeast",1107,480,"BIKE - STOLEN","IC","Invest Cont"," 5600         FALLSTON                     ST","","(34.1238, -118.1964)","34.1238, -118.1964",34.1238,-118.1964,2014-02-17,"February","#FB8072",34.1238,-118.1964,"#33A02C"
"63",63,"02/24/2014",141806619,"02/17/2014",1400,18,"Southeast",1822,480,"BIKE - STOLEN","IC","Invest Cont","  200      W  COLDEN                       AV","","(33.9492, -118.2766)","33.9492, -118.2766",33.9492,-118.2766,2014-02-17,"February","#FB8072",33.9492,-118.2766,"#33A02C"
"64",64,"02/17/2014",142006140,"02/17/2014",2035,20,"Olympic",2019,480,"BIKE - STOLEN","IC","Invest Cont","              VERMONT                      AV","   2ND                          ST","(34.0698, -118.2917)","34.0698, -118.2917",34.0698,-118.2917,2014-02-17,"February","#FB8072",34.0698,-118.2917,"#33A02C"
"65",65,"08/13/2014",141612304,"08/12/2014",1800,16,"Foothill",1606,480,"BIKE - STOLEN","IC","Invest Cont","11200         OSBORNE                      ST","","(34.2788, -118.3758)","34.2788, -118.3758",34.2788,-118.3758,2014-08-12,"August","#FFFFB3",34.2788,-118.3758,"#1F78B4"
"66",66,"02/16/2014",140107154,"02/16/2014",1420,1,"Central",162,480,"BIKE - STOLEN","IC","Invest Cont","  500      W  7TH                          ST","","(34.0467, -118.2556)","34.0467, -118.2556",34.0467,-118.2556,2014-02-16,"February","#FB8072",34.0467,-118.2556,"#33A02C"
